Temperature,Humidity,Storage_Type,Days_Since_Harvest,Transport_Duration,Packaging_Quality,Month_num,Commodity_name,Spoilage_Risk,Commodity_Category
28.5,89.1,cold_storage,2,18.0,good,8,Bajra,0,Staple Grains
33.0,57.5,cold_storage,12,16.2,good,3,Bajra,1,Staple Grains
31.1,73.3,room_temperature,6,19.7,good,12,Bajra,1,Staple Grains
34.0,87.9,cold_storage,14,23.4,poor,12,Bajra,2,Staple Grains
32.0,59.8,room_temperature,8,7.2,good,9,Bajra,2,Staple Grains
22.5,57.2,cold_storage,7,9.5,average,1,Bajra,0,Staple Grains
31.8,64.3,cold_storage,2,9.4,average,3,Bajra,0,Staple Grains
34.9,68.8,cold_storage,8,14.7,good,3,Bajra,1,Staple Grains
26.9,66.7,open_air,8,21.2,average,5,Bajra,2,Staple Grains
23.0,64.3,open_air,11,8.6,good,3,Bajra,2,Staple Grains
26.2,77.5,cold_storage,2,12.7,poor,6,Bajra,1,Staple Grains
29.9,60.6,open_air,10,7.2,good,2,Bajra,2,Staple Grains
28.7,64.5,open_air,11,4.9,average,4,Bajra,2,Staple Grains
20.9,65.1,room_temperature,10,7.5,poor,6,Bajra,2,Staple Grains
27.7,66.2,cold_storage,13,18.3,average,1,Bajra,1,Staple Grains
22.3,65.6,cold_storage,11,8.5,poor,2,Bajra,1,Staple Grains
26.6,56.6,open_air,10,23.0,good,3,Bajra,2,Staple Grains
21.1,89.1,room_temperature,11,20.5,good,6,Bajra,1,Staple Grains
31.2,57.8,cold_storage,8,8.0,average,2,Bajra,0,Staple Grains
29.2,59.9,room_temperature,1,24.8,poor,5,Bajra,2,Staple Grains
23.1,59.4,cold_storage,14,5.9,poor,3,Bajra,1,Staple Grains
29.2,57.0,cold_storage,12,16.1,average,3,Bajra,1,Staple Grains
30.9,79.7,cold_storage,12,12.7,good,5,Bajra,0,Staple Grains
28.9,71.3,room_temperature,7,11.0,average,7,Bajra,2,Staple Grains
