Temperature,Humidity,Storage_Type,Days_Since_Harvest,Transport_Duration,Packaging_Quality,Month_num,Commodity_name,Spoilage_Risk,Commodity_Category
26.2,80.2,room_temperature,5,23.5,poor,2,Bajra,2,Staple Grains
35.2,70.4,room_temperature,5,19.3,average,7,Bajra,2,Staple Grains
33.8,63.5,room_temperature,3,14.7,poor,11,Bajra,2,Staple Grains
27.5,82.8,cold_storage,14,8.6,good,5,Bajra,0,Staple Grains
21.4,61.2,open_air,8,4.2,average,8,Bajra,2,Staple Grains
32,69.1,room_temperature,2,12,average,3,Bajra,1,Staple Grains
26.8,89.2,room_temperature,3,12.7,poor,2,Bajra,2,Staple Grains
35.5,62.1,room_temperature,9,16,average,4,Bajra,2,Staple Grains
26.3,64.8,room_temperature,6,20.1,poor,2,Bajra,2,Staple Grains
24.5,86.2,cold_storage,14,7.9,poor,9,Bajra,2,Staple Grains
24.1,83.2,room_temperature,12,6.8,good,11,Bajra,1,Staple Grains
34.7,76.6,cold_storage,14,24.5,average,6,Bajra,2,Staple Grains
20.4,71.7,cold_storage,7,16.3,good,2,Bajra,0,Staple Grains
22.5,63.6,room_temperature,7,13.1,average,3,Bajra,1,Staple Grains
24,79.6,cold_storage,4,8,poor,10,Bajra,1,Staple Grains
29.1,87.8,open_air,5,10.2,poor,10,Bajra,2,Staple Grains
33.5,80.6,room_temperature,11,16.3,average,6,Bajra,2,Staple Grains
28.6,83.5,room_temperature,2,13.1,average,11,Bajra,1,Staple Grains
35.9,85,cold_storage,1,24,average,6,Bajra,2,Staple Grains
27.4,90,cold_storage,3,8.1,poor,6,Bajra,1,Staple Grains
20.9,83.2,room_temperature,8,20.1,good,1,Bajra,0,Staple Grains
30,83.5,room_temperature,10,18.8,average,1,Bajra,2,Staple Grains
25,58.9,room_temperature,6,9.7,good,6,Bajra,0,Staple Grains
34,72.5,open_air,13,21,poor,12,Bajra,2,Staple Grains
28.4,72.8,room_temperature,11,11,average,11,Bajra,1,Staple Grains
21.5,60.1,room_temperature,9,24.1,average,8,Bajra,2,Staple Grains
27.2,56.9,cold_storage,10,24.6,average,5,Bajra,1,Staple Grains
28.9,86,room_temperature,3,12,poor,3,Bajra,2,Staple Grains
22.1,59.9,open_air,10,20.8,average,10,Bajra,2,Staple Grains
35.5,68.2,open_air,2,6.2,average,10,Bajra,2,Staple Grains
34.2,62.4,cold_storage,5,7.5,average,9,Bajra,2,Staple Grains
29.1,63.2,room_temperature,13,16.9,average,6,Bajra,2,Staple Grains
27.4,73.7,room_temperature,1,18,average,10,Bajra,1,Staple Grains
32.6,74.8,cold_storage,9,20.6,average,12,Bajra,1,Staple Grains
30.2,63.6,room_temperature,13,10.3,poor,3,Bajra,2,Staple Grains
24.5,79.1,room_temperature,8,9.2,good,5,Bajra,1,Staple Grains
33.5,77.5,cold_storage,3,6.8,average,5,Bajra,1,Staple Grains
20.3,67.4,room_temperature,7,22.9,good,7,Bajra,1,Staple Grains
20.5,79.8,open_air,6,15.5,poor,1,Bajra,2,Staple Grains
36.3,81.4,cold_storage,7,14.7,poor,6,Bajra,2,Staple Grains
30.4,67.7,room_temperature,1,6.3,average,3,Bajra,1,Staple Grains
28.1,74.5,cold_storage,1,19.7,average,1,Bajra,0,Staple Grains
30.6,66.3,cold_storage,13,16.1,average,9,Bajra,2,Staple Grains
23.3,88.6,room_temperature,13,10.2,poor,5,Bajra,2,Staple Grains
36.4,75.5,cold_storage,1,19,good,10,Bajra,2,Staple Grains
22.5,63.9,room_temperature,14,22.7,poor,3,Bajra,2,Staple Grains
30.2,84.7,room_temperature,11,12.6,poor,9,Bajra,2,Staple Grains
31.3,79.4,cold_storage,14,4,average,12,Bajra,1,Staple Grains
29,86.4,room_temperature,2,16.3,average,7,Bajra,2,Staple Grains
30.5,59.8,cold_storage,1,22.5,average,9,Bajra,1,Staple Grains
27,64.2,room_temperature,1,4.1,average,4,Bajra,0,Staple Grains
24.6,57.8,open_air,5,11.3,good,7,Bajra,2,Staple Grains
23.3,89.6,room_temperature,14,5.4,poor,10,Bajra,2,Staple Grains
32.2,80.3,cold_storage,10,8.4,good,6,Bajra,0,Staple Grains
32.4,75.2,room_temperature,13,4.3,average,2,Bajra,2,Staple Grains
30.6,58.4,room_temperature,10,12.9,poor,7,Bajra,2,Staple Grains
34.1,65.8,cold_storage,8,14.3,good,6,Bajra,1,Staple Grains
28.3,58.5,cold_storage,14,9.9,average,4,Bajra,1,Staple Grains
28,73.5,cold_storage,5,3.2,good,6,Bajra,0,Staple Grains
36.1,65.6,open_air,4,15.8,average,3,Bajra,2,Staple Grains
35.4,64.6,room_temperature,11,17.5,average,12,Bajra,2,Staple Grains
29.2,84.1,room_temperature,14,20,average,10,Bajra,2,Staple Grains
20.3,75.1,cold_storage,10,21.1,poor,1,Bajra,1,Staple Grains
32.9,83,cold_storage,14,18.7,average,2,Bajra,2,Staple Grains
33.9,76.8,room_temperature,9,19.7,average,4,Bajra,2,Staple Grains
22,69.4,cold_storage,10,18,good,11,Bajra,0,Staple Grains
20.1,67.6,room_temperature,3,10.7,good,5,Bajra,0,Staple Grains
28.5,65.7,cold_storage,4,23.9,average,12,Bajra,0,Staple Grains
26.6,89.2,cold_storage,12,17.7,average,3,Bajra,1,Staple Grains
27.4,78.1,open_air,10,13.1,average,1,Bajra,2,Staple Grains
21.8,73,room_temperature,2,19.7,average,11,Bajra,0,Staple Grains
32.6,81.5,open_air,11,5.3,average,6,Bajra,2,Staple Grains
20.7,71.2,open_air,3,9.9,average,12,Bajra,1,Staple Grains
33,60.3,room_temperature,10,24.2,average,11,Bajra,2,Staple Grains
33.3,60.2,open_air,12,23.8,poor,11,Bajra,2,Staple Grains
